customer_id,gender,location,tenure_months,transaction_id,transaction_date,product_sku,product_description,product_category,quantity,product_price,coupon_status,coupon_code,discount_pct,delivery_charges,gst,year,month,day_name,week,quarter,efective_discount,invoice_value
17850,M,Chicago,12,16679,2019-01-01,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,Used,ELEC10,10.0,6.5,0.1,2019,Jan,Tuesday,1,1,0.1,158.6729
17850,M,Chicago,12,16680,2019-01-01,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,Used,ELEC10,10.0,6.5,0.1,2019,Jan,Tuesday,1,1,0.1,158.6729
17850,M,Chicago,12,16681,2019-01-01,GGOEGFKQ020399,Google Laptop and Cell Phone Stickers,Office,1,2.05,Used,OFF10,10.0,6.5,0.1,2019,Jan,Tuesday,1,1,0.1,8.5295
17850,M,Chicago,12,16682,2019-01-01,GGOEGAAB010516,Google Men's 100% Cotton Short Sleeve Hero Tee Black,Apparel,5,17.53,Not Used,SALE10,10.0,6.5,0.18,2019,Jan,Tuesday,1,1,0.0,109.927
17850,M,Chicago,12,16682,2019-01-01,GGOEGBJL013999,Google Canvas Tote Natural/Navy,Bags,1,16.5,Used,AIO10,10.0,6.5,0.18,2019,Jan,Tuesday,1,1,0.1,24.023
17850,M,Chicago,12,16682,2019-01-01,GGOEGBMJ013399,Sport Bag,Bags,15,5.15,Used,AIO10,10.0,6.5,0.18,2019,Jan,Tuesday,1,1,0.1,88.5395
17850,M,Chicago,12,16682,2019-01-01,GGOEGDHC018299,Google 22 oz Water Bottle,Drinkware,15,3.08,Not Used,EXTRA10,10.0,6.5,0.18,2019,Jan,Tuesday,1,1,0.0,61.016
17850,M,Chicago,12,16682,2019-01-01,GGOEGDHG014499,Google Infuser-Top Water Bottle,Drinkware,15,10.31,Clicked,EXTRA10,10.0,6.5,0.18,2019,Jan,Tuesday,1,1,0.0,188.987
17850,M,Chicago,12,16682,2019-01-01,GGOEGDWC020199,Engraved Ceramic Google Mug,Drinkware,5,9.27,Used,EXTRA10,10.0,6.5,0.18,2019,Jan,Tuesday,1,1,0.1,55.723699999999994
13047,M,California,43,16682,2019-01-01,GGOEGGOA017399,Maze Pen,Office,52,0.98,Used,OFF10,10.0,6.5,0.1,2019,Jan,Tuesday,1,1,0.1,56.95040000000001
13047,M,California,43,16682,2019-01-01,GGOEGOFH020299,Galaxy Screen Cleaning Cloth,Office,31,1.99,Clicked,OFF10,10.0,6.5,0.1,2019,Jan,Tuesday,1,1,0.0,74.35900000000001
13047,M,California,43,16682,2019-01-01,GGOEGOXQ016399,Badge Holder,Office,31,1.99,Clicked,OFF10,10.0,6.5,0.1,2019,Jan,Tuesday,1,1,0.0,74.35900000000001
13047,M,California,43,16682,2019-01-01,GGOEYAAB031816,YouTube Men's Short Sleeve Hero Tee Black,Apparel,5,17.53,Used,SALE10,10.0,6.5,0.18,2019,Jan,Tuesday,1,1,0.1,99.5843
13047,M,California,43,16684,2019-01-01,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,122.77,Clicked,ELEC10,10.0,6.5,0.1,2019,Jan,Tuesday,1,1,0.0,276.594
13047,M,California,43,16684,2019-01-01,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,1,81.5,Used,ELEC10,10.0,6.5,0.1,2019,Jan,Tuesday,1,1,0.1,87.18500000000002
13047,M,California,43,16685,2019-01-01,GGOEGAAR010714,Google Men's 100% Cotton Short Sleeve Hero Tee Red,Apparel,1,14.02,Used,SALE10,10.0,6.5,0.18,2019,Jan,Tuesday,1,1,0.1,21.38924
13047,M,California,43,16685,2019-01-01,GGOEGAEQ027913,Google Women's Short Sleeve Hero Tee White,Apparel,1,14.02,Clicked,SALE10,10.0,6.5,0.18,2019,Jan,Tuesday,1,1,0.0,23.043599999999998
13047,M,California,43,16685,2019-01-01,GGOEGDWR015799,Red Shine 15 oz Mug,Drinkware,1,10.72,Not Used,EXTRA10,10.0,6.5,0.18,2019,Jan,Tuesday,1,1,0.0,19.1496
13047,M,California,43,16687,2019-01-01,GGOEGFQB013799,Compact Selfie Stick,Lifestyle,1,9.27,Clicked,EXTRA10,10.0,6.5,0.18,2019,Jan,Tuesday,1,1,0.0,17.4386
13047,M,California,43,16687,2019-01-01,GGOEGGOA017399,Maze Pen,Office,3,1.02,Used,OFF10,10.0,6.5,0.1,2019,Jan,Tuesday,1,1,0.1,9.5294
13047,M,California,43,16687,2019-01-01,GGOEGOAQ012899,Ballpoint LED Light Pen,Office,1,2.58,Not Used,OFF10,10.0,6.5,0.1,2019,Jan,Tuesday,1,1,0.0,9.338000000000001
13047,M,California,43,16687,2019-01-01,GGOEGOAR021999,Color Changing Grip Pen,Office,3,1.55,Clicked,OFF10,10.0,6.5,0.1,2019,Jan,Tuesday,1,1,0.0,11.615000000000002
13047,M,California,43,16687,2019-01-01,GGOEGOBG023599,Colored Pencil Set,Office,1,3.08,Used,OFF10,10.0,6.5,0.1,2019,Jan,Tuesday,1,1,0.1,9.5492
13047,M,California,43,16687,2019-01-01,GGOEGOLC013299,Spiral Notebook and Pen Set,Office,1,6.18,Clicked,OFF10,10.0,6.5,0.1,2019,Jan,Tuesday,1,1,0.0,13.298
13047,M,California,43,16688,2019-01-01,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,Used,ELEC10,10.0,6.5,0.1,2019,Jan,Tuesday,1,1,0.1,128.0423
13047,M,California,43,16689,2019-01-01,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,Used,ELEC10,10.0,6.5,0.1,2019,Jan,Tuesday,1,1,0.1,158.6729
12583,M,Chicago,33,16692,2019-01-01,GGOEAFKQ020599,Android Sticker Sheet Ultra Removable,Office,1,2.47,Used,OFF10,10.0,102.79,0.1,2019,Jan,Tuesday,1,1,0.1,105.23530000000001
12583,M,Chicago,33,16692,2019-01-01,GGOEGDHC015299,23 oz Wide Mouth Sport Bottle,Drinkware,26,8.72,Clicked,EXTRA10,10.0,102.79,0.18,2019,Jan,Tuesday,1,1,0.0,370.31960000000004
12583,M,Chicago,33,16692,2019-01-01,GGOEGFKQ020399,Google Laptop and Cell Phone Stickers,Office,1,1.64,Clicked,OFF10,10.0,102.79,0.1,2019,Jan,Tuesday,1,1,0.0,104.59400000000001
12583,M,Chicago,33,16692,2019-01-01,GGOEYFKQ020699,YouTube Custom Decals,Office,1,1.64,Clicked,OFF10,10.0,102.79,0.1,2019,Jan,Tuesday,1,1,0.0,104.59400000000001
